order_id,product_id,store_id,product_name,city,date_of_sale,quantity,sales_amount
70,692,5,Bacon,East Charlesfort,2012-06-14,3,72.88
59,502,9,Fish,Kaylaburgh,2006-03-03,8,31.81
11,802,10,Cheese,Leachmouth,2007-05-09,4,56.24
54,743,9,Pizza,Mcintyreburgh,2003-08-19,9,26.47
88,748,9,Pants,South Catherineburgh,2000-02-05,1,63.74
46,753,6,Hat,New Karen,2019-07-26,8,56.0
35,178,2,Hat,Port Hollymouth,2010-02-09,5,71.7
26,121,8,Gloves,New Markmouth,2001-04-05,9,49.22
52,415,9,Towels,Port Bill,2011-11-05,3,34.39
13,417,7,Gloves,West Ashley,2008-01-12,1,62.62
34,272,8,Mouse,East Joshuafurt,2021-04-28,8,52.98
62,817,4,Bacon,Chelseatown,2003-11-24,8,26.2
11,687,9,Tuna,Lisaborough,2021-05-14,1,35.55
32,263,6,Sausages,South Seth,2010-08-22,10,62.86
23,912,8,Shirt,Williamsland,2024-05-03,10,48.58
81,849,7,Pizza,Davidburgh,2016-02-07,3,48.9
91,60,7,Soap,Michellechester,2020-09-16,1,33.88
58,631,5,Shoes,Port Michael,2008-10-17,9,15.79
13,662,7,Chair,North Vickiefort,2017-11-01,8,38.2
99,330,3,Car,Valeriechester,2007-06-26,8,32.36
93,970,8,Cheese,North Michele,2015-04-22,4,45.28
0,105,8,Chair,New Christopher,2011-05-31,4,51.54
37,308,5,Chair,Port Bradleyfort,2014-09-05,9,59.6
11,484,7,Chair,North Rachelborough,2016-06-10,4,30.67
31,179,9,Cheese,Stephaniehaven,2019-12-07,1,31.26
96,344,4,Hat,Johnstad,2013-09-14,6,52.51
72,949,3,Salad,Riggsburgh,2024-12-31,8,47.66
34,673,6,Fish,Bondmouth,2016-01-30,7,60.84
8,463,4,Shirt,Nicholasland,2005-07-26,10,27.25
80,185,6,Shirt,Burtonport,2023-10-11,3,26.59
82,391,10,Gloves,Allenport,2015-09-03,9,58.11
0,220,5,Pizza,West Nichole,2024-01-26,4,32.45
65,462,8,Car,East David,2009-11-30,4,58.19
55,341,8,Gloves,North Denise,2022-07-16,1,25.99
70,628,6,Computer,North Diana,2002-09-28,0,65.12
57,382,7,Towels,North Jaredview,2012-03-31,4,12.213923252409419
67,949,4,Towels,Bryanthaven,2002-06-17,2,26.99
84,817,8,Cheese,Stephensport,2007-02-24,9,33.27
96,912,4,Salad,West Jilltown,2023-06-08,8,14.43
92,97,5,Bike,Gloverside,2018-03-07,10,35.8
18,478,10,Keyboard,New Sarah,2010-02-25,6,32.93
79,359,9,Chicken,East Stephenburgh,2009-07-26,4,30.53
15,685,9,Ball,Dennismouth,2002-06-24,9,50.9
77,317,4,Car,Lake Heather,2002-09-21,4,29.78
47,986,4,Soap,Lake John,2012-09-08,6,64.93
89,905,8,Car,Port Cassidy,2025-06-30,9,41.19
53,584,4,Chicken,Jimenezhaven,2014-12-04,4,73.51
43,981,2,Cheese,New Jamesfurt,2010-09-11,9,20.12
75,571,1,Pizza,Port Marie,2001-08-16,4,68.29
1,380,3,Fish,South Timothy,2000-07-16,1,22.16
21,411,6,Salad,North Jefferymouth,2009-10-09,6,57.98
76,990,8,Pants,North Georgeshire,2003-02-23,7,54.24
